,difference,normalized difference,std,-log(p),electrode A,electrode B,drowsiness,seperation,chunk,atom,participant
123019,0.02556560068391267,1.328643774962898,0.005441735768511648,0.5846269577970199,83,48,light drowsy,close range,post2,sts,5
123020,-0.008495191416117534,-0.4414949342162449,0.00043978697841787385,0.8554287566006437,83,48,light drowsy,close range,post2,sts,6
123021,0.0004034973266890951,0.02096974829372909,0.0012326939635342842,0.014730644028976494,83,48,light drowsy,close range,post2,sts,7
123022,-0.014838080305913756,-0.771134747608625,0.0014605705891746624,0.8618884281673975,83,48,light drowsy,close range,post2,sts,8
123023,0.0024182519124959397,0.12567650529923408,0.0018115627732358571,0.07999217292041053,83,48,light drowsy,close range,post2,sts,9
123024,0.001204343469107981,0.06258970688509742,0.005307394748892338,0.01813752045034784,83,48,light drowsy,close range,post2,sts,10
123025,,,,,83,48,light drowsy,close range,post2,sts,11
123026,-0.009891716091967928,-0.5140722947129329,0.00048271080386744485,0.895569931762068,83,48,light drowsy,close range,post2,sts,12
123027,-0.004680362830266068,-0.2432383661109828,0.0012648425980196446,0.21481940624974927,83,48,light drowsy,close range,post2,sts,13
123028,-0.001783168769157576,-0.09267124657627543,0.0009445523160814416,0.08671077045503242,83,48,light drowsy,close range,post2,sts,14
123029,0.007136952779002802,0.3709072984149806,0.0019535553010619107,0.2857818818837076,83,48,light drowsy,close range,post2,sts,15
123030,-0.0038672149536155523,-0.20097908662861785,0.002423268504251327,0.10801085572542543,83,48,light drowsy,close range,post2,sts,16
123031,0.007064688179234286,0.3671517085573544,0.0013747990440505285,0.3326493880796035,83,48,light drowsy,close range,post2,sts,17
123032,-0.02835821542923423,-1.4737759094711196,0.0016200456889355385,2.1695663336898328,83,48,light drowsy,close range,post2,sts,18
123033,0.020260399001279038,1.0529325457333292,0.0011827309578042154,1.3309189992831112,83,48,light drowsy,close range,post2,sts,19
123034,0.0056277826436697,0.2924757555593497,0.00034796265216255947,0.5305826813808145,83,48,light drowsy,close range,post2,sts,20
123035,-0.0084277211211515,-0.4379885042868303,0.0005178549436252973,0.7547719647866001,83,48,light drowsy,close range,post2,sts,21
123036,0.0038429090502646096,0.19971590929977848,0.00041581662225778697,0.2954434274925672,83,48,light drowsy,close range,post2,sts,22
123037,-0.008385222976226243,-0.4357798765138892,0.0006574901605394137,0.6487996265543072,83,48,light drowsy,close range,post2,sts,23
123038,0.004940359476903142,0.2567503868272787,0.00040244641729613546,0.4548190038159734,83,48,light drowsy,close range,post2,sts,24
123039,0.012877311204397252,0.6692336151815346,0.0005270542397135307,1.4088626914237403,83,48,light drowsy,close range,post2,sts,25
123040,-0.004496431557458921,-0.233679461407054,0.0006906775003616602,0.31772303215769704,83,48,light drowsy,close range,post2,sts,26
123041,-0.000995756604316965,-0.051749451540813576,0.0008881871381551426,0.04192992171201067,83,48,light drowsy,close range,post2,sts,27
123042,0.0071388595553112215,0.3710063935429908,0.0005195205772458617,0.6228809563467186,83,48,light drowsy,close range,post2,sts,28
123043,0.0006078372351518633,0.03158928939946127,0.0007890942118082715,0.03263734798549373,83,48,light drowsy,close range,post2,sts,29
