,Weight vectors,Accuracy,Strategy,Time period,Drowsiness
58,"[[-2.64929594e+00 -1.04005579e+02  2.10630601e+02 -1.97770481e+02
  -7.64164087e+01 -1.34888081e+01  2.83026624e+01  1.65308407e+02
  -2.64929594e+00 -1.04005579e+02  1.43558647e+01 -4.59518713e+02
   1.78550366e+02  2.11691865e+02 -2.58830216e-02 -1.88201416e+01]]",0.542343883661249,PhiID prediction,pre1,awake
59,"[[  -5.1819398   -43.95014677   27.71726262 -406.82760214  -36.98329271
   -10.81986717   19.72636182 -156.15496332   -5.1819398   -43.95014677
    12.40575846 -467.51725793  388.53819934  352.87818401  191.64584237
   -16.75563801]]",0.562874251497006,PhiID prediction,pre1,awake
60,"[[  -1.71343282 -106.90954568  370.26504816 -724.95291563 -227.77162279
   -19.24508025   39.26141292 -241.02795574   -1.71343282 -106.90954568
    19.98590883 -747.09767358  703.7675726   565.33807084  319.31248098
   -19.21181673]]",0.5295124037639007,PhiID prediction,pre1,awake
61,"[[  -2.42754548  -17.7602691    -7.72427308 -383.85954384  -38.48294135
   -10.96534709   21.68066443 -129.9370275    -2.42754548  -17.7602691
    12.99478205 -340.87375191  357.23940556  272.21481941  105.00687728
   -22.06823898]]",0.5372112917023096,PhiID prediction,pre1,awake
62,"[[  -4.30337055  -79.09461607  162.8474272  -315.89635928 -112.81021701
   -17.19024185   11.09522812  -69.12278339   -4.30337055  -79.09461607
    18.29000386 -478.6144699   293.69618443  237.7723129   219.56573723
   -16.39377638]]",0.5774165953806673,PhiID prediction,pre1,awake
63,"[[  -3.93189245 -117.81829932 -218.32637635 -567.94416576  400.91834072
   -18.17323198   60.65450236 -205.95638394   -3.93189245 -117.81829932
    19.22630157 -465.45575712  527.92043232  307.92117849  264.21703732
   -17.82258022]]",0.5320786997433704,PhiID prediction,pre1,awake
64,"[[  -3.51201044  -67.22882199  260.06066714 -259.0199259  -195.59800347
   -20.47282334   34.07022129 -210.29596867   -3.51201044  -67.22882199
    21.3137577  -528.22122598  234.13226017  516.96941529  141.73643505
   -15.77788098]]",0.5449101796407185,PhiID prediction,pre1,awake
65,"[[  -2.93846637  -30.45980128  -79.49343336 -447.00917979   51.27059424
   -14.60296021   26.24159137 -355.34637882   -2.93846637  -30.45980128
    14.89603582 -404.05855965  443.93214563  369.69890373  299.4467134
   -17.16619882]]",0.5312232677502139,PhiID prediction,pre1,awake
66,"[[  -3.36031794  -72.71715887   72.43564938 -338.39119014  -16.44745916
   -15.66271633   24.03182927    7.72883623   -3.36031794  -72.71715887
    16.6626509  -270.70140127  327.41881819  223.97602107  -45.06524989
   -13.46158143]]",0.5551753635585971,PhiID prediction,pre1,awake
67,"[[  -3.55182328  -59.6181983   110.92679224 -287.37106941  -95.46605797
   -21.66816478   14.61780801 -124.73995994   -3.55182328  -59.6181983
    22.42571314 -258.95669792  258.26740077  212.58743869   72.76476241
   -24.42959812]]",0.5431993156544055,PhiID prediction,pre1,awake
68,"[[  -6.32192651  -61.87474792   94.98094916 -341.71213176 -123.7229771
   -18.79273474  -10.48216043 -198.37113488   -6.32192651  -61.87474792
    18.83840048 -206.48913904  335.3559403   349.78475079  -35.61735267
   -12.42784927]]",0.5414884516680923,PhiID prediction,pre1,awake
69,"[[  -4.10685009  -96.29268033 -215.02175247 -566.72135578  282.67488015
   -10.42989594   -6.14205869 -261.10130748   -4.10685008  -96.29268033
    11.04478835 -514.45893074  550.90723614  319.37191436  367.66382422
   -18.13090786]]",0.5620188195038495,PhiID prediction,pre1,awake
70,"[[  -3.56273148  -42.78640942   29.73491364 -645.43257671    5.5035818
   -12.9737209    51.16651725 -281.39948913   -3.56273148  -42.78640942
    14.92499777 -444.78856974  598.24924541  415.579904    219.53592218
   -27.12338282]]",0.544054747647562,PhiID prediction,pre1,awake
71,"[[  -5.12128445 -105.74561078   -1.67802841 -500.19643831   93.28775113
   -20.5525551    14.86891477  -65.19808984   -5.12128445 -105.74561078
    20.65320889 -475.2707728   500.44923113  186.01516805  262.17840611
   -12.8416779 ]]",0.5286569717707442,PhiID prediction,pre1,awake
72,"[[  -3.27804176  -27.60737737  113.12969199 -300.64257528 -138.31126515
   -20.61264573   37.5075367  -259.72902255   -3.27804176  -27.60737737
    21.80133159 -331.48039302  278.83493905  346.51151105  146.15205999
   -18.60340834]]",0.5380667236954663,PhiID prediction,pre1,awake
73,"[[  -3.73936321  -43.02672034  171.91930408   11.17398642 -182.01600314
    -8.93257318   17.24047982   -2.06508187   -3.73936321  -43.02672034
    10.01545881 -194.01593939  -37.96272996  297.99813288 -193.05547185
   -20.00174813]]",0.5389221556886228,PhiID prediction,pre1,awake
74,"[[  -4.97975508 -105.38395786  222.87162392 -297.67926526 -118.70033589
   -14.74466267   14.45035764   37.84808875   -4.97975508 -105.38395786
    14.72769837 -265.39254286  289.04829969  152.43260482   -8.39290097
   -17.6042438 ]]",0.5431993156544055,PhiID prediction,pre1,awake
75,"[[  -3.85889115  -86.20853614  -94.84859283 -714.00057659  178.97872314
   -30.08148257   32.3595327  -332.96139171   -3.85889115  -86.20853614
    31.12803948 -741.17633455  691.94858133  508.05129928  467.17027909
   -22.00413815]]",0.5372112917023096,PhiID prediction,pre1,awake
76,"[[  -3.07673178  -70.96072117  334.19643073 -416.21863992 -269.86670111
   -18.47255668   40.83997176  -81.900039     -3.07673177  -70.96072117
    19.52368002 -456.59559375  399.30129593  363.07206039   71.74156009
   -19.45729242]]",0.5346449957228401,PhiID prediction,pre1,awake
77,"[[  -4.64774031 -129.75936117  133.27106611 -640.39738495   11.9203764
   -25.45330212   15.1043906  -302.02228584   -4.64774031 -129.75936117
    26.32992016 -615.05055435  619.13817869  409.29768353  411.18345794
   -14.40289118]]",0.5269461077844312,PhiID prediction,pre1,awake
78,"[[  -3.48996808  -89.37794134  216.51218846 -347.87511424 -119.93598944
   -25.57141145   36.7092307  -132.3559602    -3.48996808  -89.37794134
    26.97346206 -323.24476259  316.72926032  357.85145805   -4.10189966
   -18.79733127]]",0.5474764756201882,PhiID prediction,pre1,awake
79,"[[  -3.07064092  -61.3602422   112.35023255 -373.10746672  -70.80496871
   -28.77652225   43.97695632 -112.75927007   -3.07064092  -61.3602422
    29.33134237 -277.28881268  356.84680576  280.83590727    6.137319
   -12.13228317]]",0.5260906757912746,PhiID prediction,pre1,awake
80,"[[  -4.75711111  -93.93482768  -72.7222087  -490.60361067  210.71678328
   -17.90259648   69.42296387  -18.92641169   -4.75711111  -93.93482768
    19.07722664 -323.53183659  461.79585037  130.07158071  123.47471214
   -14.04203814]]",0.5295124037639007,PhiID prediction,pre1,awake
81,"[[  -3.66102693  -87.62626147  124.13221566 -223.81843576  -20.67788521
   -21.61572416   36.14163806 -160.77149021   -3.66102693  -87.62626147
    22.2575311  -341.34656913  193.42744035  255.44851076  162.79085852
   -20.57000088]]",0.5380667236954663,PhiID prediction,pre1,awake
