,Weight vectors,Accuracy,Strategy,Time period,Drowsiness
27,"[[-3.27294518e+00  5.58923819e+02  6.77717897e+02  1.91629493e+04
  -1.27548803e+03 -3.10815701e+00 -3.87176028e+02 -4.26114478e+02
  -3.27294517e+00  5.58923819e+02  3.16296281e+00 -1.01000643e+03
  -1.81620914e+04  7.22909355e+02  4.11153738e+02 -5.61692415e+02]]",0.5414884516680923,PhiID prediction,pre1,awake
28,"[[-5.78513040e+00  7.09265270e+02  2.18935811e+03  2.55815510e+04
  -2.86364207e+03 -3.04096979e+00 -3.81677874e+02 -8.78096542e+02
  -5.78513039e+00  7.09265270e+02  3.33721230e+00 -1.19472102e+03
  -2.43340132e+04  1.08800699e+03  6.43872284e+02 -6.29869654e+02]]",0.49957228400342174,PhiID prediction,pre1,awake
29,"[[-5.40556575e+00  3.72767166e+02 -4.83733010e+01  1.79315482e+04
   2.35937831e+02 -3.94320388e+00 -1.00816669e+02 -6.83318393e+02
  -5.40556575e+00  3.72767166e+02  4.01423455e+00 -1.20389403e+03
  -1.72680129e+04  1.24180156e+03  3.46606026e+02 -4.10094307e+02]]",0.5260906757912746,PhiID prediction,pre1,awake
30,"[[-2.40949226e+00  2.56294587e+02 -2.42460783e+03  6.95491082e+03
   2.44627420e+03 -4.46308291e+00 -3.56759105e+02 -1.16061521e+02
  -2.40949226e+00  2.56294587e+02  4.56280598e+00 -1.16057748e+03
  -6.36719876e+03  9.37528199e+02  5.50864814e+01 -5.38256777e+02]]",0.5543199315654406,PhiID prediction,pre1,awake
31,"[[-3.22053500e+00  6.97184059e+02 -4.63517264e+02  1.53819066e+04
  -3.58885921e+02 -2.20605815e+00 -3.38444933e+02 -5.44577010e+02
  -3.22053500e+00  6.97184059e+02  2.33174018e+00 -9.79654854e+02
  -1.49597136e+04  7.87005469e+02  4.62746324e+02 -5.17592191e+02]]",0.5585970915312233,PhiID prediction,pre1,awake
32,"[[-1.39101175e+00  8.54905208e+02 -3.20711346e+02  1.74792157e+04
  -8.94098434e+02 -2.62649097e+00 -2.76901122e+02 -3.28951028e+02
  -1.39101175e+00  8.54905208e+02  2.75143009e+00 -8.84952543e+02
  -1.65680520e+04  5.21425688e+02  4.15888491e+02 -6.73008193e+02]]",0.5389221556886228,PhiID prediction,pre1,awake
33,"[[-6.28903513e+00  6.21765814e+02  1.18439756e+02  3.04323722e+04
  -5.50526220e+02 -3.28292613e+00 -2.21763112e+02 -6.11323266e+02
  -6.28903514e+00  6.21765814e+02  3.50762677e+00 -1.17371874e+03
  -2.92374843e+04  7.03707669e+02  7.72082238e+02 -6.62295883e+02]]",0.5483319076133447,PhiID prediction,pre1,awake
34,"[[   -3.79480039   587.08693499 -3519.34235998 -1923.33160077
   2970.3244718     -5.3368466   -336.67310187  1466.72590083
     -3.7948004    587.08693499     5.45507772 -1356.4637703
   2501.51774502   923.29580519 -1335.74667823  -529.6658465 ]]",0.5346449957228401,PhiID prediction,pre1,awake
35,"[[-5.15213309e+00  5.75925891e+02 -1.63886556e+03  1.19362306e+04
   1.21875947e+03 -4.70531795e+00 -2.82449397e+02 -5.58771465e+02
  -5.15213309e+00  5.75925891e+02  4.95477559e+00 -1.17048364e+03
  -1.10049628e+04  7.47269853e+02  6.98699998e+02 -4.58864123e+02]]",0.523524379811805,PhiID prediction,pre1,awake
36,"[[-4.71967369e+00  5.78865310e+02 -3.08776081e+03  6.98296685e+03
   2.85210078e+03 -4.25259080e+00  1.52957634e+01 -3.37084859e+02
  -4.71967369e+00  5.78865310e+02  4.21747591e+00 -2.00914201e+03
  -6.34825553e+03  1.49297966e+03  5.65048780e+02 -5.52637079e+02]]",0.5457656116338752,PhiID prediction,pre1,awake
37,"[[-5.12418861e+00  5.26400150e+02 -1.02719794e+03  1.26829424e+04
   6.94502664e+02 -1.99402909e+00 -2.39761143e+02 -4.74496797e+02
  -5.12418861e+00  5.26400150e+02  2.12539425e+00 -9.21695169e+02
  -1.09284861e+04  1.15701046e+03 -7.31167936e+01 -8.30284712e+02]]",0.5209580838323353,PhiID prediction,pre1,awake
38,"[[-3.34808637e+00  8.95973516e+02 -1.58339241e+03  1.37104136e+04
   5.32770696e+02 -4.60800192e+00 -1.40332430e+02 -4.41835200e+02
  -3.34808637e+00  8.95973516e+02  4.75774488e+00 -1.81459749e+03
  -1.32205077e+04  1.65565712e+03  3.18330293e+02 -2.90931044e+02]]",0.5483319076133447,PhiID prediction,pre1,awake
39,"[[   -6.6606504    748.2330105  -2073.11571582   876.32622282
   1408.16950846    -3.29695884  -195.12008601   176.29716639
     -6.6606504    748.2330105      3.52802966 -1529.41298875
    376.95351831   845.79786098   225.11907638  -590.36282141]]",0.5286569717707442,PhiID prediction,pre1,awake
40,"[[-6.77312234e+00  6.33068170e+02  1.17760341e+03  1.62888144e+04
  -1.35002523e+03 -2.43895009e+00  9.09554645e+01 -1.26756817e+02
  -6.77312233e+00  6.33068170e+02  2.65173094e+00 -6.53821287e+02
  -1.50220231e+04  3.79899890e+02  8.38400782e+01 -7.42108122e+02]]",0.5278015397775877,PhiID prediction,pre1,awake
41,"[[-6.34378282e+00  2.04361066e+02 -1.02731512e+00  1.01140694e+04
   4.52867676e+02 -1.85099060e+00 -2.04217236e+02 -5.59052488e+02
  -6.34378282e+00  2.04361066e+02  2.06771646e+00 -1.13468414e+03
  -9.43475098e+03  1.03378152e+03  3.49101467e+02 -4.66311675e+02]]",0.5508982035928144,PhiID prediction,pre1,awake
42,"[[-8.74319954e+00  8.77592942e+02 -1.87169508e+03  1.46474755e+04
   1.03783387e+03 -3.95047448e+00 -1.42349533e+02 -4.27435026e+02
  -8.74319954e+00  8.77592942e+02  4.21482437e+00 -1.93471629e+03
  -1.31325996e+04  1.41968117e+03  6.60802697e+02 -6.44992122e+02]]",0.5397775876817793,PhiID prediction,pre1,awake
43,"[[-5.84275884e+00  3.84486177e+02 -1.65817084e+03  1.86656082e+04
   1.77489640e+03 -3.54866425e+00 -8.57798939e+01 -8.02191989e+02
  -5.84275884e+00  3.84486177e+02  3.64749411e+00 -1.70678569e+03
  -1.76459234e+04  9.98169693e+02  1.23626374e+03 -7.19679374e+02]]",0.5389221556886228,PhiID prediction,pre1,awake
44,"[[-5.29309498e+00  7.23060256e+02  1.59824508e+03  1.61567826e+04
  -1.98812620e+03 -4.19495471e+00 -2.49220151e+01 -3.77190995e+02
  -5.29309498e+00  7.23060256e+02  4.31686409e+00 -1.29453591e+03
  -1.57562327e+04  1.08603791e+03  2.57757292e+02 -3.76453740e+02]]",0.5363558597091531,PhiID prediction,pre1,awake
45,"[[-6.31766027e+00  7.19255538e+02 -7.16964130e+02  9.82993393e+03
   1.97834951e+02 -4.59826793e+00 -1.10678486e+02  7.60855880e+01
  -6.31766027e+00  7.19255538e+02  4.78489393e+00 -1.29320121e+03
  -8.56657571e+03  7.14312231e+02  1.90544849e+02 -6.96669604e+02]]",0.5543199315654406,PhiID prediction,pre1,awake
46,"[[-4.27137668e+00  2.36112238e+02  4.07981873e+00  9.41786950e+03
   1.50202089e+02 -2.73510823e+00 -3.58131669e+02 -9.94942893e+02
  -4.27137668e+00  2.36112238e+02  2.89316546e+00 -1.08595744e+03
  -9.02756470e+03  1.46819407e+03  3.31995823e+02 -5.24223195e+02]]",0.5355004277159966,PhiID prediction,pre1,awake
47,"[[-3.63643942e+00  6.25437183e+02 -2.13568676e+03  9.55859820e+03
   1.51687462e+03 -2.78305755e+00 -3.34839466e+02  2.11719839e+02
  -3.63643942e+00  6.25437183e+02  2.83817070e+00 -1.44283118e+03
  -9.53537991e+03  8.37614411e+02  1.39542495e+02 -2.22922683e+02]]",0.5355004277159966,PhiID prediction,pre1,awake
48,"[[-5.33599941e+00  5.83912743e+02  9.44556891e+02  1.45141799e+04
  -1.21629132e+03 -3.14155103e+00 -4.34989594e+00 -8.17509104e+02
  -5.33599942e+00  5.83912743e+02  3.31509780e+00 -1.41320110e+03
  -1.34024418e+04  1.03330437e+03  9.02883808e+02 -7.18012163e+02]]",0.5474764756201882,PhiID prediction,pre1,awake
49,"[[-6.48421389e+00  9.53027243e+02 -1.57144976e+02  1.39407490e+04
  -8.67557392e+02 -1.17232552e+00 -2.05963330e+02  4.53916236e+02
  -6.48421389e+00  9.53027243e+02  1.21555393e+00 -8.35260453e+02
  -1.33135159e+04  5.78089608e+02 -4.95407807e+02 -5.71158791e+02]]",0.5072711719418306,PhiID prediction,pre1,awake
