metric,performance,drowsiness
0.0811205506324768,miss,light drowsy
0.110933214426041,hit,awake
0.0970928221940994,miss,awake
0.075690820813179,miss,awake
0.0816640928387642,miss,awake
0.0647432804107666,hit,light drowsy
0.0335652604699135,miss,light drowsy
0.112124711275101,miss,awake
0.196745425462723,miss,awake
0.102592751383781,miss,awake
0.305605679750443,miss,awake
0.295080184936523,miss,awake
0.146668344736099,miss,awake
0.165428474545479,miss,awake
0.0369862206280231,miss,awake
0.140554949641228,hit,awake
0.377099990844727,miss,awake
0.096330851316452,miss,awake
0.138361662626266,miss,awake
0.0391704589128494,miss,awake
0.251016408205032,miss,awake
0.100736260414124,miss,awake
0.158563956618309,miss,awake
0.13718669116497,miss,awake
0.185195699334145,hit,awake
0.205802083015442,hit,awake
0.176452919840813,hit,awake
0.217385664582253,hit,light drowsy
0.0902518033981323,miss,awake
0.105173617601395,miss,awake
0.104161113500595,miss,awake
0.18308313190937,hit,awake
0.0191544573754072,miss,awake
0.0396649576723576,miss,awake
0.0680764317512512,hit,awake
0.194240137934685,hit,awake
0.128378123044968,miss,awake
0.123289167881012,hit,awake
0.162316173315048,miss,awake
0.0334648452699184,miss,awake
0.164392158389091,miss,awake
0.184290170669556,miss,awake
0.203535959124565,miss,awake
0.0513758063316345,miss,awake
0.114577397704124,hit,awake
0.194958075881004,miss,awake
0.0731191039085388,hit,awake
0.110138639807701,miss,awake
0.209800273180008,hit,awake
0.356540679931641,miss,awake
0.0183718297630548,miss,light drowsy
0.10154827684164,miss,awake
0.197119817137718,miss,awake
0.0836658775806427,miss,awake
0.158631384372711,miss,awake
0.124898351728916,hit,awake
0.189850345253944,miss,awake
0.0903246179223061,miss,awake
0.0460546426475048,miss,light drowsy
0.113218083977699,miss,awake
0.0100768879055977,miss,awake
0.11943057179451,miss,awake
0.135837748646736,miss,awake
0.135727211833,hit,awake
0.114900887012482,miss,awake
0.104894675314426,hit,awake
0.157582268118858,miss,awake
0.19645793735981,hit,awake
0.290383964776993,miss,awake
0.128304734826088,miss,awake
0.228465378284454,miss,awake
0.203372091054916,miss,awake
0.183459430932999,miss,awake
0.192838460206985,hit,awake
0.0441500395536423,miss,awake
0.0781739205121994,hit,awake
0.100002773106098,miss,awake
0.0170727781951427,miss,awake
0.0335834249854088,miss,awake
0.169691056013107,miss,awake
0.287608921527863,miss,awake
0.285170674324036,hit,awake
0.0440784581005573,miss,awake
0.0703250393271446,miss,awake
0.200480788946152,miss,awake
0.0802538171410561,hit,awake
0.0807143449783325,miss,light drowsy
0.0995569378137589,miss,awake
0.101707920432091,miss,awake
0.147705540060997,miss,awake
0.116224698722363,hit,awake
0.0218650121241808,miss,awake
0.0572030059993267,miss,awake
0.0563426911830902,miss,awake
0.0678562521934509,miss,awake
0.136063635349274,hit,awake
0.098390132188797,miss,awake
0.112376645207405,miss,awake
0.083445742726326,miss,awake
0.0639718100428581,miss,awake
0.137395769357681,miss,awake
0.0903261005878448,hit,awake
0.0213561411947012,miss,awake
0.0935307592153549,hit,awake
0.0548339560627937,miss,awake
0.0338450185954571,miss,awake
0.069153293967247,miss,awake
0.096281573176384,hit,awake
0.0735174864530563,hit,light drowsy
0.0850453749299049,hit,awake
0.0660298466682434,miss,awake
0.000395344366552308,miss,awake
0.0981543064117432,miss,light drowsy
0.16710077226162,hit,awake
0.18576043844223,miss,awake
0.054407861083746,miss,awake
0.0408614799380302,miss,awake
0.15316167473793,hit,awake
0.0174585990607738,hit,awake
0.0600393414497375,hit,awake
0.165561616420746,miss,awake
0.0799635052680969,hit,awake
0.0771001130342484,miss,awake
0.06693384796381,miss,awake
0.0877844616770744,hit,awake
0.0489651933312416,miss,awake
0.134522318840027,hit,light drowsy
0.127996310591698,hit,awake
0.108600907027721,miss,awake
0.0908801928162575,hit,awake
0.125946685671806,miss,awake
0.0821678638458252,hit,awake
0.0838402137160301,miss,awake
0.0820069089531898,miss,awake
0.19534732401371,miss,awake
0.285161226987839,miss,awake
0.0953244790434837,hit,awake
0.170728713274002,miss,awake
0.119318477809429,miss,awake
0.0226131919771433,miss,awake
0.0196770112961531,miss,awake
0.116810262203217,miss,awake
0.184028267860413,miss,awake
0.0729625448584557,miss,awake
0.0630444884300232,hit,awake
0.165345102548599,miss,awake
0.166686609387398,miss,awake
0.0943774878978729,hit,awake
0.18012934923172,throwaway,throwaway
0.0496545620262623,throwaway,throwaway
0.0636937990784645,miss,awake
0.0511882714927197,miss,awake
0.0888415426015854,miss,awake
0.0762649402022362,miss,awake
0.125986695289612,miss,awake
0.0416851975023746,hit,awake
0.048557560890913,miss,awake
0.0917501300573349,miss,awake
0.018783463165164,miss,awake
0.0483788475394249,miss,light drowsy
0.0486667081713676,hit,awake
0.0103972414508462,miss,awake
0.104291714727879,hit,awake
0.108357161283493,hit,awake
0.0115526216104627,miss,awake
0.157327800989151,miss,awake
0.000124804602819495,miss,light drowsy
0.0970583036541939,hit,awake
0.0848425105214119,miss,awake
0.102797389030457,miss,awake
0.0867912098765373,miss,light drowsy
0.149113222956657,miss,awake
0.1030143648386,miss,light drowsy
0.0118857026100159,miss,light drowsy
0.0274456068873405,miss,awake
0.104829050600529,miss,awake
0.218243509531021,miss,awake
0.0447384715080261,hit,awake
