,Accuracy,Strategy,Time period,Drowsiness
223,0.5637296834901625,PhiID prediction,pre1,awake
224,0.561163387510693,PhiID prediction,pre1,awake
225,0.5654405474764757,PhiID prediction,pre1,awake
226,0.5295124037639007,PhiID prediction,pre1,awake
227,0.5303678357570573,PhiID prediction,pre1,awake
228,0.5389221556886228,PhiID prediction,pre1,awake
229,0.5278015397775877,PhiID prediction,pre1,awake
230,0.542343883661249,PhiID prediction,pre1,awake
231,0.5278015397775877,PhiID prediction,pre1,awake
232,0.5372112917023096,PhiID prediction,pre1,awake
233,0.5329341317365269,PhiID prediction,pre1,awake
234,0.5278015397775877,PhiID prediction,pre1,awake
235,0.5286569717707442,PhiID prediction,pre1,awake
236,0.5329341317365269,PhiID prediction,pre1,awake
237,0.5431993156544055,PhiID prediction,pre1,awake
238,0.5355004277159966,PhiID prediction,pre1,awake
239,0.5278015397775877,PhiID prediction,pre1,awake
240,0.5346449957228401,PhiID prediction,pre1,awake
241,0.5508982035928144,PhiID prediction,pre1,awake
242,0.5491873396065012,PhiID prediction,pre1,awake
243,0.5260906757912746,PhiID prediction,pre1,awake
244,0.5491873396065012,PhiID prediction,pre1,awake
245,0.5372112917023096,PhiID prediction,pre1,awake
246,0.5286569717707442,PhiID prediction,pre1,awake
247,0.5483319076133447,PhiID prediction,pre1,awake
248,0.5543199315654406,PhiID prediction,pre1,awake
249,0.49700598802395207,PhiID prediction,pre1,awake
250,0.553464499572284,PhiID prediction,pre1,awake
251,0.5457656116338752,PhiID prediction,pre1,awake
252,0.5517536355859709,PhiID prediction,pre1,awake
253,0.5295124037639007,PhiID prediction,pre1,awake
254,0.5286569717707442,PhiID prediction,pre1,awake
255,0.5457656116338752,PhiID prediction,pre1,awake
256,0.5312232677502139,PhiID prediction,pre1,awake
257,0.5397775876817793,PhiID prediction,pre1,awake
258,0.5585970915312233,PhiID prediction,pre1,awake
259,0.5466210436270317,PhiID prediction,pre1,awake
260,0.5355004277159966,PhiID prediction,pre1,awake
261,0.5414884516680923,PhiID prediction,pre1,awake
262,0.5517536355859709,PhiID prediction,pre1,awake
263,0.5414884516680923,PhiID prediction,pre1,awake
264,0.5491873396065012,PhiID prediction,pre1,awake
265,0.5209580838323353,PhiID prediction,pre1,awake
266,0.5662959794696322,PhiID prediction,pre1,awake
267,0.5303678357570573,PhiID prediction,pre1,awake
268,0.5449101796407185,PhiID prediction,pre1,awake
269,0.5278015397775877,PhiID prediction,pre1,awake
270,0.5397775876817793,PhiID prediction,pre1,awake
271,0.5192472198460223,PhiID prediction,pre1,awake
272,0.5491873396065012,PhiID prediction,pre1,awake
273,0.5201026518391788,PhiID prediction,pre1,awake
274,0.5491873396065012,PhiID prediction,pre1,awake
275,0.5620188195038495,PhiID prediction,pre1,awake
276,0.5158254918733961,PhiID prediction,pre1,awake
277,0.5312232677502139,PhiID prediction,pre1,awake
278,0.5585970915312233,PhiID prediction,pre1,awake
279,0.544054747647562,PhiID prediction,pre1,awake
280,0.5543199315654406,PhiID prediction,pre1,awake
281,0.5243798118049615,PhiID prediction,pre1,awake
282,0.5286569717707442,PhiID prediction,pre1,awake
283,0.5414884516680923,PhiID prediction,pre1,awake
284,0.5526090675791274,PhiID prediction,pre1,awake
285,0.5329341317365269,PhiID prediction,pre1,awake
286,0.5389221556886228,PhiID prediction,pre1,awake
287,0.5337895637296834,PhiID prediction,pre1,awake
288,0.5209580838323353,PhiID prediction,pre1,awake
289,0.5209580838323353,PhiID prediction,pre1,awake
290,0.5337895637296834,PhiID prediction,pre1,awake
291,0.5389221556886228,PhiID prediction,pre1,awake
292,0.5286569717707442,PhiID prediction,pre1,awake
293,0.5363558597091531,PhiID prediction,pre1,awake
294,0.5269461077844312,PhiID prediction,pre1,awake
295,0.5397775876817793,PhiID prediction,pre1,awake
296,0.5286569717707442,PhiID prediction,pre1,awake
297,0.5286569717707442,PhiID prediction,pre1,awake
298,0.5209580838323353,PhiID prediction,pre1,awake
299,0.5474764756201882,PhiID prediction,pre1,awake
300,0.5551753635585971,PhiID prediction,pre1,awake
301,0.5380667236954663,PhiID prediction,pre1,awake
302,0.5517536355859709,PhiID prediction,pre1,awake
303,0.5201026518391788,PhiID prediction,pre1,awake
304,0.5414884516680923,PhiID prediction,pre1,awake
305,0.5508982035928144,PhiID prediction,pre1,awake
306,0.5346449957228401,PhiID prediction,pre1,awake
307,0.5500427715996579,PhiID prediction,pre1,awake
308,0.5705731394354149,PhiID prediction,pre1,awake
309,0.5508982035928144,PhiID prediction,pre1,awake
310,0.5337895637296834,PhiID prediction,pre1,awake
311,0.5320786997433704,PhiID prediction,pre1,awake
312,0.5346449957228401,PhiID prediction,pre1,awake
313,0.5380667236954663,PhiID prediction,pre1,awake
314,0.5389221556886228,PhiID prediction,pre1,awake
315,0.5149700598802395,PhiID prediction,pre1,awake
316,0.5466210436270317,PhiID prediction,pre1,awake
317,0.5363558597091531,PhiID prediction,pre1,awake
318,0.5166809238665526,PhiID prediction,pre1,awake
319,0.5312232677502139,PhiID prediction,pre1,awake
320,0.5397775876817793,PhiID prediction,pre1,awake
321,0.5483319076133447,PhiID prediction,pre1,awake
322,0.5132591958939264,PhiID prediction,pre1,awake
323,0.5269461077844312,PhiID prediction,pre1,awake
324,0.5303678357570573,PhiID prediction,pre1,awake
325,0.5372112917023096,PhiID prediction,pre1,awake
326,0.5491873396065012,PhiID prediction,pre1,awake
327,0.523524379811805,PhiID prediction,pre1,awake
328,0.5500427715996579,PhiID prediction,pre1,awake
329,0.5474764756201882,PhiID prediction,pre1,awake
330,0.5431993156544055,PhiID prediction,pre1,awake
331,0.523524379811805,PhiID prediction,pre1,awake
332,0.523524379811805,PhiID prediction,pre1,awake
333,0.5295124037639007,PhiID prediction,pre1,awake
334,0.5106928999144568,PhiID prediction,pre1,awake
335,0.525235243798118,PhiID prediction,pre1,awake
336,0.5474764756201882,PhiID prediction,pre1,awake
337,0.5355004277159966,PhiID prediction,pre1,awake
338,0.5295124037639007,PhiID prediction,pre1,awake
339,0.514114627887083,PhiID prediction,pre1,awake
340,0.5346449957228401,PhiID prediction,pre1,awake
341,0.5406330196749358,PhiID prediction,pre1,awake
342,0.5637296834901625,PhiID prediction,pre1,awake
343,0.5226689478186484,PhiID prediction,pre1,awake
344,0.562874251497006,PhiID prediction,pre1,awake
345,0.5380667236954663,PhiID prediction,pre1,awake
346,0.5260906757912746,PhiID prediction,pre1,awake
347,0.5320786997433704,PhiID prediction,pre1,awake
348,0.5457656116338752,PhiID prediction,pre1,awake
349,0.5132591958939264,PhiID prediction,pre1,awake
350,0.5329341317365269,PhiID prediction,pre1,awake
351,0.5389221556886228,PhiID prediction,pre1,awake
352,0.5449101796407185,PhiID prediction,pre1,awake
353,0.5346449957228401,PhiID prediction,pre1,awake
354,0.5508982035928144,PhiID prediction,pre1,awake
355,0.5449101796407185,PhiID prediction,pre1,awake
356,0.5372112917023096,PhiID prediction,pre1,awake
357,0.5303678357570573,PhiID prediction,pre1,awake
358,0.5508982035928144,PhiID prediction,pre1,awake
359,0.5303678357570573,PhiID prediction,pre1,awake
360,0.5380667236954663,PhiID prediction,pre1,awake
361,0.544054747647562,PhiID prediction,pre1,awake
362,0.5594525235243798,PhiID prediction,pre1,awake
363,0.523524379811805,PhiID prediction,pre1,awake
364,0.5286569717707442,PhiID prediction,pre1,awake
365,0.5329341317365269,PhiID prediction,pre1,awake
366,0.5192472198460223,PhiID prediction,pre1,awake
367,0.5594525235243798,PhiID prediction,pre1,awake
368,0.5389221556886228,PhiID prediction,pre1,awake
369,0.5671514114627887,PhiID prediction,pre1,awake
370,0.5329341317365269,PhiID prediction,pre1,awake
